"Data","Consumo","regiao"
"1979.01",228,"CO"
"1979.02",231,"CO"
"1979.03",228,"CO"
"1979.04",243,"CO"
"1979.05",241,"CO"
"1979.06",242,"CO"
"1979.07",250,"CO"
"1979.08",247,"CO"
"1979.09",254,"CO"
"1979.10",268,"CO"
"1979.11",263,"CO"
"1979.12",277,"CO"
"1980.01",271,"CO"
"1980.02",267,"CO"
"1980.03",268,"CO"
"1980.04",285,"CO"
"1980.05",264,"CO"
"1980.06",290,"CO"
"1980.07",279,"CO"
"1980.08",286,"CO"
"1980.09",307,"CO"
"1980.10",294,"CO"
"1980.11",306,"CO"
"1980.12",296,"CO"
"1981.01",301,"CO"
"1981.02",302,"CO"
"1981.03",300,"CO"
"1981.04",310,"CO"
"1981.05",309,"CO"
"1981.06",306,"CO"
"1981.07",299,"CO"
"1981.08",304,"CO"
"1981.09",322,"CO"
"1981.10",316,"CO"
"1981.11",313,"CO"
"1981.12",310,"CO"
"1982.01",325,"CO"
"1982.02",309,"CO"
"1982.03",319,"CO"
"1982.04",336,"CO"
"1982.05",340,"CO"
"1982.06",345,"CO"
"1982.07",357,"CO"
"1982.08",355,"CO"
"1982.09",368,"CO"
"1982.10",377,"CO"
"1982.11",375,"CO"
"1982.12",377,"CO"
"1983.01",366,"CO"
"1983.02",365,"CO"
"1983.03",373,"CO"
"1983.04",376,"CO"
"1983.05",397,"CO"
"1983.06",415,"CO"
"1983.07",404,"CO"
"1983.08",414,"CO"
"1983.09",419,"CO"
"1983.10",419,"CO"
"1983.11",409,"CO"
"1983.12",411,"CO"
"1984.01",422,"CO"
"1984.02",440,"CO"
"1984.03",436,"CO"
"1984.04",441,"CO"
"1984.05",458,"CO"
"1984.06",454,"CO"
"1984.07",458,"CO"
"1984.08",478,"CO"
"1984.09",471,"CO"
"1984.10",467,"CO"
"1984.11",496,"CO"
"1984.12",473,"CO"
"1985.01",478,"CO"
"1985.02",471,"CO"
"1985.03",476,"CO"
"1985.04",494,"CO"
"1985.05",506,"CO"
"1985.06",499,"CO"
"1985.07",488,"CO"
"1985.08",517,"CO"
"1985.09",461,"CO"
"1985.10",598,"CO"
"1985.11",547,"CO"
"1985.12",524,"CO"
"1986.01",557,"CO"
"1986.02",512,"CO"
"1986.03",533,"CO"
"1986.04",551,"CO"
"1986.05",567,"CO"
"1986.06",560,"CO"
"1986.07",536,"CO"
"1986.08",570,"CO"
"1986.09",584,"CO"
"1986.10",549,"CO"
"1986.11",598,"CO"
"1986.12",552,"CO"
"1987.01",580,"CO"
"1987.02",549,"CO"
"1987.03",562,"CO"
"1987.04",579,"CO"
"1987.05",592,"CO"
"1987.06",582,"CO"
"1987.07",585,"CO"
"1987.08",611,"CO"
"1987.09",624,"CO"
"1987.10",616,"CO"
"1987.11",635,"CO"
"1987.12",604,"CO"
"1988.01",625,"CO"
"1988.02",647,"CO"
"1988.03",637,"CO"
"1988.04",648,"CO"
"1988.05",631,"CO"
"1988.06",633,"CO"
"1988.07",645,"CO"
"1988.08",638,"CO"
"1988.09",661,"CO"
"1988.10",654,"CO"
"1988.11",636,"CO"
"1988.12",614,"CO"
"1989.01",632,"CO"
"1989.02",604,"CO"
"1989.03",632,"CO"
"1989.04",631,"CO"
"1989.05",679,"CO"
"1989.06",674,"CO"
"1989.07",671,"CO"
"1989.08",689,"CO"
"1989.09",698,"CO"
"1989.10",702,"CO"
"1989.11",714,"CO"
"1989.12",667,"CO"
"1990.01",693,"CO"
"1990.02",671,"CO"
"1990.03",691,"CO"
"1990.04",686,"CO"
"1990.05",688,"CO"
"1990.06",695,"CO"
"1990.07",703,"CO"
"1990.08",707,"CO"
"1990.09",731,"CO"
"1990.10",728,"CO"
"1990.11",758,"CO"
"1990.12",706,"CO"
"1991.01",730,"CO"
"1991.02",687,"CO"
"1991.03",671,"CO"
"1991.04",734,"CO"
"1991.05",763,"CO"
"1991.06",770,"CO"
"1991.07",765,"CO"
"1991.08",754,"CO"
"1991.09",785,"CO"
"1991.10",781,"CO"
"1991.11",786,"CO"
"1991.12",756,"CO"
"1992.01",744,"CO"
"1992.02",734,"CO"
"1992.03",749,"CO"
"1992.04",757,"CO"
"1992.05",758,"CO"
"1992.06",762,"CO"
"1992.07",756,"CO"
"1992.08",768,"CO"
"1992.09",773,"CO"
"1992.10",740,"CO"
"1992.11",750,"CO"
"1992.12",770,"CO"
"1993.01",770,"CO"
"1993.02",752,"CO"
"1993.03",784,"CO"
"1993.04",835,"CO"
"1993.05",834,"CO"
"1993.06",816,"CO"
"1993.07",811,"CO"
"1993.08",826,"CO"
"1993.09",857,"CO"
"1993.10",850,"CO"
"1993.11",864,"CO"
"1993.12",832,"CO"
"1994.01",819,"CO"
"1994.02",808,"CO"
"1994.03",848,"CO"
"1994.04",882,"CO"
"1994.05",862,"CO"
"1994.06",900,"CO"
"1994.07",863,"CO"
"1994.08",892,"CO"
"1994.09",920,"CO"
"1994.10",966,"CO"
"1994.11",966,"CO"
"1994.12",914,"CO"
"1995.01",913,"CO"
"1995.02",917,"CO"
"1995.03",954,"CO"
"1995.04",1003,"CO"
"1995.05",975,"CO"
"1995.06",986,"CO"
"1995.07",977,"CO"
"1995.08",1015,"CO"
"1995.09",1065,"CO"
"1995.10",1046,"CO"
"1995.11",1050,"CO"
"1995.12",1017,"CO"
"1996.01",1020,"CO"
"1996.02",1013,"CO"
"1996.03",1030,"CO"
"1996.04",1086,"CO"
"1996.05",1077,"CO"
"1996.06",1063,"CO"
"1996.07",1047,"CO"
"1996.08",1066,"CO"
"1996.09",1125,"CO"
"1996.10",1126,"CO"
"1996.11",1111,"CO"
"1996.12",1062,"CO"
"1997.01",1092,"CO"
"1997.02",1044,"CO"
"1997.03",1051,"CO"
"1997.04",1111,"CO"
"1997.05",1121,"CO"
"1997.06",1109,"CO"
"1997.07",1132,"CO"
"1997.08",1170,"CO"
"1997.09",1202,"CO"
"1997.10",1216,"CO"
"1997.11",1228,"CO"
"1997.12",1135,"CO"
"1998.01",1157,"CO"
"1998.02",1141,"CO"
"1998.03",1125,"CO"
"1998.04",1238,"CO"
"1998.05",1235,"CO"
"1998.06",1194,"CO"
"1998.07",1219,"CO"
"1998.08",1288,"CO"
"1998.09",1308,"CO"
"1998.10",1279,"CO"
"1998.11",1252,"CO"
"1998.12",1245,"CO"
"1999.01",1239,"CO"
"1999.02",1200,"CO"
"1999.03",1237,"CO"
"1999.04",1338,"CO"
"1999.05",1282,"CO"
"1999.06",1290,"CO"
"1999.07",1305,"CO"
"1999.08",1338,"CO"
"1999.09",1392,"CO"
"1999.10",1356,"CO"
"1999.11",1330,"CO"
"1999.12",1318,"CO"
"2000.01",1294,"CO"
"2000.02",1275,"CO"
"2000.03",1318,"CO"
"2000.04",1363,"CO"
"2000.05",1370,"CO"
"2000.06",1404,"CO"
"2000.07",1383,"CO"
"2000.08",1406,"CO"
"2000.09",1471,"CO"
"2000.10",1446,"CO"
"2000.11",1473,"CO"
"2000.12",1355,"CO"
"2001.01",1379,"CO"
"2001.02",1373,"CO"
"2001.03",1439,"CO"
"2001.04",1471,"CO"
"2001.05",1472,"CO"
"2001.06",1260,"CO"
"2001.07",1094,"CO"
"2001.08",1152,"CO"
"2001.09",1172,"CO"
"2001.10",1164,"CO"
"2001.11",1169,"CO"
"2001.12",1124,"CO"
"2002.01",1135,"CO"
"2002.02",1146,"CO"
"2002.03",1254,"CO"
"2002.04",1347,"CO"
"2002.05",1426,"CO"
"2002.06",1362,"CO"
"2002.07",1360,"CO"
"2002.08",1419,"CO"
"2002.09",1448,"CO"
"2002.10",1461,"CO"
"2002.11",1488,"CO"
"2002.12",1433,"CO"
"2003.01",1414,"CO"
"2003.02",1434,"CO"
"2003.03",1507,"CO"
"2003.04",1511,"CO"
"2003.05",1557,"CO"
"2003.06",1535,"CO"
"2003.07",1548,"CO"
"2003.08",1596,"CO"
"2003.09",1590,"CO"
"2003.10",1633,"CO"
"2003.11",1583,"CO"
"2003.12",1523,"CO"
"2004.01",1518,"CO"
"2004.02",1453,"CO"
"2004.03",1540,"CO"
"2004.04",1601,"CO"
"2004.05",1566,"CO"
"2004.06",1577,"CO"
"2004.07",1612,"CO"
"2004.08",1645,"CO"
"2004.09",1726,"CO"
"2004.10",1744,"CO"
"2004.11",1606,"CO"
"2004.12",1635,"CO"
"2005.01",1568,"CO"
"2005.02",1547,"CO"
"2005.03",1624,"CO"
"2005.04",1703,"CO"
"2005.05",1645,"CO"
"2005.06",1640,"CO"
"2005.07",1700,"CO"
"2005.08",1720,"CO"
"2005.09",1776,"CO"
"2005.10",1758,"CO"
"2005.11",1746,"CO"
"2005.12",1660,"CO"
"2006.01",1618,"CO"
"2006.02",1671,"CO"
"2006.03",1798,"CO"
"2006.04",1733,"CO"
"2006.05",1686,"CO"
"2006.06",1688,"CO"
"2006.07",1723,"CO"
"2006.08",1785,"CO"
"2006.09",1804,"CO"
"2006.10",1796,"CO"
"2006.11",1760,"CO"
"2006.12",1742,"CO"
"2007.01",1728,"CO"
"2007.02",1723,"CO"
"2007.03",1798,"CO"
"2007.04",1927,"CO"
"2007.05",1848,"CO"
"2007.06",1788,"CO"
"2007.07",1822,"CO"
"2007.08",1861,"CO"
"2007.09",1880,"CO"
"2007.10",1958,"CO"
"2007.11",1878,"CO"
"2007.12",1813,"CO"
"2008.01",1803,"CO"
"2008.02",1821,"CO"
"2008.03",1825,"CO"
"2008.04",1897,"CO"
"2008.05",1961,"CO"
"2008.06",1972,"CO"
"2008.07",1946,"CO"
"2008.08",2001,"CO"
"2008.09",2108,"CO"
"2008.10",2124,"CO"
"2008.11",2138,"CO"
"2008.12",1965,"CO"
"2009.01",1917,"CO"
"2009.02",1902,"CO"
"2009.03",2030,"CO"
"2009.04",2117,"CO"
"2009.05",2066,"CO"
"2009.06",2007,"CO"
"2009.07",2072,"CO"
"2009.08",2135,"CO"
"2009.09",2166,"CO"
"2009.10",2168,"CO"
"2009.11",2119,"CO"
"2009.12",2069,"CO"
"2010.01",2072,"CO"
"2010.02",2071,"CO"
"2010.03",2169,"CO"
"2010.04",2188,"CO"
"2010.05",2191,"CO"
"2010.06",2200,"CO"
"2010.07",2166,"CO"
"2010.08",2240,"CO"
"2010.09",2314,"CO"
"2010.10",2294,"CO"
"2010.11",2211,"CO"
"2010.12",2195,"CO"
"2011.01",2137,"CO"
"2011.02",2156,"CO"
"2011.03",2261,"CO"
"2011.04",2311,"CO"
"2011.05",2347,"CO"
"2011.06",2278,"CO"
"2011.07",2316,"CO"
"2011.08",2409,"CO"
"2011.09",2565,"CO"
"2011.10",2548,"CO"
"2011.11",2437,"CO"
"2011.12",2440,"CO"
"2012.01",2370,"CO"
"2012.02",2416,"CO"
"2012.03",2519,"CO"
"2012.04",2532,"CO"
"2012.05",2557,"CO"
"2012.06",2488,"CO"
"2012.07",2457,"CO"
"2012.08",2581,"CO"
"2012.09",2673,"CO"
"2012.10",2773,"CO"
"2012.11",2709,"CO"
"2012.12",2645,"CO"
"2013.01",2608,"CO"
"2013.02",2559,"CO"
"2013.03",2617,"CO"
"2013.04",2670,"CO"
"2013.05",2705,"CO"
"2013.06",2643,"CO"
"2013.07",2725,"CO"
"2013.08",2838,"CO"
"2013.09",2817,"CO"
"2013.10",2855,"CO"
"2013.11",2903,"CO"
"2013.12",2816,"CO"
"2014.01",2756,"CO"
"2014.02",2775,"CO"
"2014.03",2736,"CO"
"2014.04",2849,"CO"
"2014.05",2847,"CO"
"2014.06",2785,"CO"
"2014.07",2739,"CO"
"2014.08",2990,"CO"
"2014.09",3030,"CO"
"2014.10",3111,"CO"
"2014.11",3031,"CO"
"2014.12",2798,"CO"
"2015.01",2801,"CO"
"2015.02",2803,"CO"
"2015.03",2762,"CO"
"2015.04",2869,"CO"
"2015.05",2827,"CO"
"2015.06",2792,"CO"
"2015.07",2764,"CO"
"2015.08",2878,"CO"
"2015.09",3055,"CO"
"2015.10",3192,"CO"
"2015.11",3115,"CO"
"2015.12",2926,"CO"
"2016.01",2812,"CO"
"2016.02",2805,"CO"
"2016.03",2901,"CO"
"2016.04",3067,"CO"
"2016.05",2880,"CO"
"2016.06",2818,"CO"
"2016.07",2813,"CO"
"2016.08",2896,"CO"
"2016.09",2950,"CO"
"2016.10",2948,"CO"
"2016.11",2905,"CO"
"2016.12",2781,"CO"
"2017.01",2865,"CO"
"2017.02",2780,"CO"
"2017.03",2901,"CO"
"2017.04",2972,"CO"
"2017.05",2928,"CO"
"2017.06",2935,"CO"
"2017.07",2817,"CO"
"2017.08",2893,"CO"
"2017.09",3128,"CO"
"2017.10",3060,"CO"
"2017.11",3071,"CO"
"2017.12",2867,"CO"
"2018.01",2862,"CO"
"2018.02",2901,"CO"
"2018.03",2956,"CO"
"2018.04",3028,"CO"
"2018.05",2954,"CO"
"2018.06",2897,"CO"
"2018.07",2936,"CO"
"2018.08",3035,"CO"
"2018.09",3092,"CO"
